Sample	Stringency	Peak_Count	Total_Reads	Reads_In_Peaks	FRiP
B104WT1_AM_S14	2	109061	78759379	42721742	.5424
B104WT1_AM_S14	3	105556	78759379	42311985	.5372
B104WT1_AM_S14	4	100678	78759379	41684055	.5292
B104WT1_AM_S14	5	92237	78759379	40485317	.5140
B104WT1_AM_S14	6	86917	78759379	39624876	.5031
B104WT1_AM_S14	7	82016	78759379	38755175	.4920
B104WT1_AM_S14	8	77679	78759379	37893525	.4811
B104WT1_AM_S14	9	71816	78759379	36633944	.4651
B104WT1_AM_S14	10	68404	78759379	35830793	.4549
B104WT2_AM_S16	2	108224	86873730	58394398	.6721
B104WT2_AM_S16	3	104077	86873730	57889235	.6663
B104WT2_AM_S16	4	100020	86873730	57348468	.6601
B104WT2_AM_S16	5	93572	86873730	56376979	.6489
B104WT2_AM_S16	6	89582	86873730	55692804	.6410
B104WT2_AM_S16	7	84320	86873730	54664486	.6292
B104WT2_AM_S16	8	81133	86873730	53968198	.6212
B104WT2_AM_S16	9	76842	86873730	52938771	.6093
B104WT2_AM_S16	10	74090	86873730	52250689	.6014
